COMPANY,NUM1,NUM2,NUM3,NUM4,NUM5,APPLE_RANKING,BIRCHBOX_RANK,ACCENTURE,ETSY,FB,GOOGLE,ORACLE,PAYPAL,REDANTLER,YAHOO
ACCENTURE2,0,1,5,1,2,,,,,,,,,,
APPLE2,1,1,8,0,1,3,3,3,3,3,3,3,3,3,3
BIRCHBOX2,1,3,10,1,0,3,3,3,4,5,3,4,4,3,4
ETSY2,0,1,6,0,0,3,5,3,3,3,4,3,5,4,3
FACEBOOK2,0,0,6,4,2,5,5,5,3,3,5,5,5,5,3
GOOGLE2,0,0,5,3,2,5,4,5,5,3,4,5,3,3,5
ORACLE2,0,0,11,1,2,2,3,3,5,5,3,3,3,5,4
PAYPAL2,0,0,3,2,2,3,2,2,2,4,3,4,3,3,3
REDANTLER2,1,0,8,1,0,5,,4,,4,3,3,,3,3
YAHOO2,0,0,12,4,1,3,,3,,3,3,3,,,4
,,,,,,3,,,,3,3,,,,4
,,,,,,3,,,,4,3,,,,
,,,,,,,,,,4,3,,,,
,,,,,,,,,,,3,,,,
,,,,,,,,,,,3,,,,
